text,label
Ordered items worth ₹0 on an online marketplace. Seller marked as shipped but I never received anything.,E-Commerce & Job Fraud
My medical records were leaked in a hospital data breach. Sensitive health information is now public.,Hacking & Unauthorized Access
"Someone created a fake LinkedIn profile with my details and is approaching companies for jobs, damaging my professional reputation.",Social Media Crimes
"A WhatsApp message claimed I won a lottery from Yes Bank. To claim the prize, I had to pay processing fees. I paid ₹0 but received nothing.",Financial Fraud
Joined an online casino through a WhatsApp group. Deposited ₹150000 but cannot withdraw my winnings now.,Others
Got a call from someone pretending to be from SBI customer care. They asked for my CVV and OTP. I gave it and lost ₹0.,Financial Fraud
Found a dark web forum sharing stolen credit card details and personal information of thousands of people.,Social Media Crimes
I am being constantly harassed on social media by someone posting hateful comments and messages targeting me.,Online Harassment & Threats
I was selling my laptop online. The buyer sent a fake UPI screenshot showing payment of ₹25000. I shipped the item but never received the money.,Financial Fraud
Paid ₹0 for branded shoes on a fake e-commerce site. Never received the product and the site is now closed.,E-Commerce & Job Fraud
My software code was copied and sold by another developer. This is copyright infringement.,Others
My driving license was used by someone else to commit fraud. I received a legal notice for something I didn't do.,Hacking & Unauthorized Access
Multiple types of cybercrimes are happening simultaneously. Complicated situation requiring immediate attention.,Others
Being cyberbullied by classmates who created a hate page about me on Instagram with fake stories and morphed photos.,Online Harassment & Threats
My server was compromised with ransomware. Database is encrypted and hackers threatening to delete everything unless paid ₹10000.,Ransomware & Malware
Being cyber-stalked by an ex who created fake profiles to follow me and my friends. They're collecting information about my daily routine.,Online Harassment & Threats
Downloaded a PDF file from email that installed a keylogger on my system. Someone accessed my banking credentials.,Ransomware & Malware
Found spyware app hidden on my device. It was sending my WhatsApp chats and photos to an unknown email address.,Ransomware & Malware
"A person sent me a QR code saying scan to receive money. After scanning, ₹150000 was deducted instead of credited.",Financial Fraud
I was selling my watch online. The buyer sent a fake UPI screenshot showing payment of ₹20000. I shipped the item but never received the money.,Financial Fraud
Customer data including mine was exposed when Microsoft servers were hacked. Receiving spam and fraud calls ever since.,Hacking & Unauthorized Access
A person contacted me on WhatsApp offering personal loans at low interest. Paid ₹200000 as processing fee but never got the loan.,Financial Fraud
Discovered my book is being distributed as PDF on multiple file-sharing sites without my authorization.,Others
Joined a skill development course after paying ₹10000. Course content was copied from free YouTube videos.,E-Commerce & Job Fraud
My competitor is posting negative reviews on my business page with fake accounts to damage my reputation.,Others
Someone is continuously tracking my location and movements using my social media posts. They know where I go and send threatening messages.,Online Harassment & Threats
Mobile got infected after installing a fake app. The virus is stealing my contacts and personal information.,Ransomware & Malware
My phone is infected with a trojan. It's sending SMS to premium numbers and making unauthorized calls costing ₹0.,Ransomware & Malware
My email account was hacked. The hacker sent emails to my contacts asking for money. They also changed my recovery options.,Hacking & Unauthorized Access
Someone created deepfake videos of me and posted them online. The videos show me in compromising situations that never happened.,Social Media Crimes
Received email claiming they have my browsing history and webcam recordings. Demanding ₹0 in Bitcoin to delete them.,Online Harassment & Threats
Discovered my identity was stolen when I tried to apply for a loan. Someone already took a loan of ₹5000 using my documents.,Hacking & Unauthorized Access
Someone is sending me abusive messages daily on WhatsApp and other platforms. They threatened to harm me physically.,Online Harassment & Threats
Got addicted to online gambling apps. Lost ₹100000 in total. These apps should be banned.,Others
Found evidence of cybercrime network operating across multiple states. This needs higher authority intervention.,Others
A stranger obtained my phone number and address somehow. Now calling repeatedly and sending gifts to my home despite warnings.,Online Harassment & Threats
Joined a skill development course after paying ₹50000. Course content was copied from free YouTube videos.,E-Commerce & Job Fraud
Facing cybercrime that doesn't fit standard categories. Need help to report this unusual case.,Others
Found spyware app hidden on my device. It was sending my WhatsApp chats and photos to an unknown email address.,Ransomware & Malware
Invested ₹200000 in a cryptocurrency trading platform that promised high returns. Cannot withdraw my funds now and the website is not responding.,Financial Fraud
My original content is being used by multiple websites without permission. They're earning revenue from my work.,Others
Someone is continuously tracking my location and movements using my social media posts. They know where I go and send threatening messages.,Online Harassment & Threats
Participated in online cricket betting and lost ₹15000. The app is operating illegally in India.,Others
Joined an investment group on Telegram. They claimed guaranteed returns. I invested ₹5000 but they blocked me after taking the money.,Financial Fraud
Someone is sending threatening messages demanding ₹0 or they will leak my private information online.,Online Harassment & Threats
My credit card details were stolen from an unsecured website. Fraudulent transactions of ₹30000 were made within hours.,Financial Fraud
Someone gifted me a phone which had pre-installed spyware. They were accessing my camera and microphone remotely.,Ransomware & Malware
Someone cloned my credit card and made purchases worth ₹15000. I discovered this when I received OTP messages for transactions I didn't do.,Financial Fraud
